segmento,segmento_nombre,codigo,ente,plataforma,usuario,link,seguidores,publicaciones_historico,publicaciones_ultimo_mes,likes_recientes,publicacion_destacada_titulo,publicacion_destacada_likes,fecha_carga
1,Seguridad y Paz,SEG-01,Comisión de Seguridad Ciudadana,Instagram,@seguridadciudadanatachira,https://instagram.com/seguridadciudadanatachira,,,,,,,
1,Seguridad y Paz,SEG-03,Instituto Autónomo de Policía del Estado Táchira,Instagram,@politachira,https://instagram.com/politachira,,,,,,,
1,Seguridad y Paz,SEG-03,Instituto Autónomo de Policía del Estado Táchira,X,@policiatachira,https://x.com/policiatachira,,,,,,,
1,Seguridad y Paz,SEG-04,INAPROCET (Protección Civil Táchira),Instagram,@pcsancristobal,https://instagram.com/pcsancristobal,,,,,,,
1,Seguridad y Paz,SEG-04,INAPROCET (Protección Civil Táchira),X,@PCivilTachira,https://x.com/PCivilTachira,,,,,,,
2,Economía y Desarrollo Productivo,ECO-01,FUNDESTA — Instituto Autónomo para el Desarrollo de la Economía Social,Instagram,@fundestaoficial,https://instagram.com/fundestaoficial,,,,,,,
2,Economía y Desarrollo Productivo,ECO-01,FUNDESTA — Instituto Autónomo para el Desarrollo de la Economía Social,X,@Fundesta_inst,https://x.com/Fundesta_inst,,,,,,,
2,Economía y Desarrollo Productivo,ECO-03,Lotería de Táchira,Instagram,@lotdeltachira,https://instagram.com/lotdeltachira,,,,,,,
2,Economía y Desarrollo Productivo,ECO-03,Lotería de Táchira,X,@LotDelTachira,https://x.com/LotDelTachira,,,,,,,
2,Economía y Desarrollo Productivo,ECO-04,I.V.T,Instagram,@ivt_tachira,https://instagram.com/ivt_tachira,,,,,,,
2,Economía y Desarrollo Productivo,ECO-04,I.V.T,Facebook,/ivtgbt,https://facebook.com/ivtgbt,,,,,,,
2,Economía y Desarrollo Productivo,ECO-05,CORPOTACHIRA,X,@corpotachira,https://x.com/corpotachira,,,,,,,
2,Economía y Desarrollo Productivo,ECO-06,CORPOINTA,Instagram,@corpointa.gobtachira,https://instagram.com/corpointa.gobtachira,,,,,,,
2,Economía y Desarrollo Productivo,ECO-07,COTATUR,Instagram,@cotaturve,https://instagram.com/cotaturve,,,,,,,
2,Economía y Desarrollo Productivo,ECO-08,COIMTA,Instagram,@coimtaoficial,https://instagram.com/coimtaoficial,,,,,,,
2,Economía y Desarrollo Productivo,ECO-11,SEDEBAT,Instagram,@sedebat_,https://instagram.com/sedebat_,,,,,,,
2,Economía y Desarrollo Productivo,ECO-11,SEDEBAT,X,@Sedebat_,https://x.com/Sedebat_,,,,,,,
3,Gestión Social y Servicios,SOC-13,CORPOSALUD,Instagram,@corposalud_tachira,https://instagram.com/corposalud_tachira,,,,,,,
3,Gestión Social y Servicios,SOC-15,INTAMUJER,Instagram,@intamujer,https://instagram.com/intamujer,,,,,,,
3,Gestión Social y Servicios,SOC-15,INTAMUJER,X,@INTAMUJERTACH,https://x.com/INTAMUJERTACH,,,,,,,
3,Gestión Social y Servicios,SOC-16,INTAVI,Instagram,@intavienlinea,https://instagram.com/intavienlinea,,,,,,,
3,Gestión Social y Servicios,SOC-17,Fundación de la Familia Tachirense,Instagram,@famitachirense,https://instagram.com/famitachirense,,,,,,,
3,Gestión Social y Servicios,SOC-17,Fundación de la Familia Tachirense,X,@famitachirense,https://x.com/famitachirense,,,,,,,
3,Gestión Social y Servicios,SOC-18,FUNDES,Instagram,@fundes.tachira,https://instagram.com/fundes.tachira,,,,,,,
4,Educación y Desarrollo Humano,EDU-02,Dirección de Educación,Instagram,@diredutachira,https://instagram.com/diredutachira,,,,,,,
4,Educación y Desarrollo Humano,EDU-02,Dirección de Educación,X,@DirEduTachira,https://x.com/DirEduTachira,,,,,,,
4,Educación y Desarrollo Humano,EDU-03,Dirección de Cultura del Estado Táchira,Facebook,/direcciondeculturadelestadotachira,https://facebook.com/direcciondeculturadelestadotachira,,,,,,,
4,Educación y Desarrollo Humano,EDU-04,INTEDUCA,Instagram,@inteduca_tachira,https://instagram.com/inteduca_tachira,,,,,,,
4,Educación y Desarrollo Humano,EDU-05,I.D.T (Instituto del Deporte Tachirense),Instagram,@idtachirense,https://instagram.com/idtachirense,,,,,,,
