codigo;ente;plataforma;usuario;url;estado;seguidores;seguidores_exacto;publicaciones_historico;publicaciones_ultimo_mes;ultima_publicacion;likes_recientes;publicaciones_muestra;publicacion_destacada_titulo;publicacion_destacada_likes;fecha_medicion
SEG-01;Comisión de Seguridad Ciudadana;Instagram;@seguridadciudadanatachira;https://instagram.com/seguridadciudadanatachira;activa;2424;si;564;30;2026-08-31;429;10;Anuncio oficial DPD Táchira por instrucciones de la Presidenta (E) y el Ministro Cabello;164;2026-09-01
SEG-03;Instituto Autónomo de Policía del Estado Táchira;Instagram;@politachira;https://instagram.com/politachira;activa;27907;si;2082;22;no disponible;3282;10;Detención de un sujeto en San Juan de Colón tras la difusión del caso;988;2026-09-01
SEG-03;Instituto Autónomo de Policía del Estado Táchira;X;@policiatachira;https://x.com/policiatachira;suspendida;no disponible;no disponible;no disponible;no disponible;no disponible;no disponible;no disponible;no disponible;no disponible;2026-09-01
SEG-04;INAPROCET (Protección Civil Táchira);Instagram;@pcsancristobal;https://instagram.com/pcsancristobal;activa;29567;si;2229;8;2026-08-28;1499;10;Reporte del sismo de magnitud 3.2 del 9 de agosto;749;2026-09-01
SEG-04;INAPROCET (Protección Civil Táchira);X;@PCivilTachira;https://x.com/PCivilTachira;inactiva;17.1K;no;45.3K;0;2024-10-30;0;6;Enlace al blog institucional sobre más de 50 mil personas evacuadas;0;2026-09-01
ECO-01;FUNDESTA;Instagram;@fundestaoficial;https://instagram.com/fundestaoficial;inactiva;1361;si;356;0;2021-12-23;178;10;Estímulo a los emprendedores del Táchira;39;2026-09-01
ECO-01;FUNDESTA;X;@Fundesta_inst;https://x.com/Fundesta_inst;activa;171;si;1467;2;2026-08-12;5;6;Mensaje por el Día Internacional de la Juventud;2;2026-09-01
ECO-03;Lotería de Táchira;Instagram;@lotdeltachira;https://instagram.com/lotdeltachira;inactiva;186306;si;3050;0;2026-03-04;1642;10;Arranque de la 61 edición de la Vuelta al Táchira;741;2026-09-01
ECO-03;Lotería de Táchira;X;@LotDelTachira;https://x.com/LotDelTachira;inactiva;20.8K;no;71.2K;0;2022-02-02;14;5;Recorrido del presidente Marcos Albarrán con su directiva;5;2026-09-01
ECO-04;I.V.T;Instagram;@ivt_tachira;https://instagram.com/ivt_tachira;activa;11140;si;1021;11;no disponible;1050;10;Canal abierto de 300 metros y activación de alcantarilla;705;2026-09-01
